model,brier_before,brier_after,delta_brier,f1_before,f1_after,delta_f1
EasyEnsemble,0.19709958553846854,0.05507517137193954,-0.142024414166529,0.2389937106918239,0.0,-0.2389937106918239
BalancedRF,0.1928161186921344,0.06325252139005892,-0.12956359730207545,0.21875,0.09950248756218906,-0.11924751243781094
RUSBoost,0.29085047453010915,0.05673912870392901,-0.23411134582618015,0.204149377593361,0.0,-0.204149377593361
TabNet,0.17335005104541779,0.061567869037389755,-0.11178218200802803,0.19961977186311788,0.15767634854771784,-0.04194342331540005
