model,dataset,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,balanced_accuracy,g_mean,sensitivity,specificity,kappa,brier,TN,FP,FN,TP,short,Rank
EasyEnsemble,Intrinsic Balancing,0.5200000000000004,0.7265536723163842,0.1446700507614213,0.6867469879518072,0.2389937106918239,0.7732964804174512,0.18957240222087995,0.22043375636437867,0.7079777527143527,0.7076593481090055,0.6867469879518072,0.7292085174768983,0.15133666247808475,0.19709958553846854,1815,674,52,114,EasyEns.,1
Hybrid (XGB+CatBoost),BorderlineSMOTE,0.15,0.8666666666666667,0.18027210884353742,0.3192771084337349,0.23043478260869565,0.7554734809063495,0.1537848464279041,0.17162452182281596,0.611225536940853,0.5369942011799179,0.3192771084337349,0.9031739654479711,0.16358753110282898,0.057123822942610654,2248,241,113,53,Hybrid,2
XGBoost,Original (Imbalanced),0.15,0.7698681732580037,0.14285714285714285,0.536144578313253,0.2256020278833967,0.73642581575801,0.1497850087314642,0.18372888816436375,0.6608002923707688,0.6489360364089086,0.536144578313253,0.7854560064282845,0.14076259071303987,0.0724824070930481,1955,534,77,89,XGBoost,3
BalancedRandomForest,Bootstrap Balancing,0.5200000000000004,0.67984934086629,0.12906724511930587,0.7168674698795181,0.21875,0.759443963076089,0.16832243346140396,0.2004800618190436,0.6971239719827482,0.6968443345567242,0.7168674698795181,0.6773804740859783,0.12614964515499494,0.1928161186921344,1686,803,47,119,BalRF,4
RUSBoost,Sequential Boosting Balance,0.6900000000000005,0.6387947269303201,0.11838306063522618,0.7409638554216867,0.204149377593361,0.7038317996776177,0.10865258918367018,0.18500451579786098,0.686472285284166,0.684306121006683,0.7409638554216867,0.6319807151466452,0.10797010994185308,0.29085047453010915,1573,916,43,123,RUSBoost,5
TabNet,Original (Imbalanced),0.42000000000000026,0.6828625235404896,0.11851015801354402,0.6325301204819277,0.19961977186311788,0.7261637953985488,0.14912447230119252,0.1636572343046372,0.659374742844419,0.658828063876577,0.6325301204819277,0.6862193652069104,0.10540524100927295,0.17335005104541779,1708,781,61,105,TabNet,6
LightGBM (Focal Loss),Focal Objective Strategy,0.15,0.8772128060263653,0.1638655462184874,0.23493975903614459,0.19306930693069307,0.7153741522941908,0.14495662204447687,0.1313523000365245,0.5774939855847657,0.4649256986446905,0.23493975903614459,0.920048212133387,0.12889843438633508,0.058907038711260885,2290,199,127,39,LGBM-FL,7
SVM (RBF),BorderlineSMOTE,0.15,0.8659133709981167,0.12890625,0.19879518072289157,0.15639810426540285,0.6756620697333326,0.11316672365323201,0.0895690290914616,0.554600483089449,0.4254224754886522,0.19879518072289157,0.9104057854560065,0.08715127610298457,0.0747328664221163,2266,223,133,33,SVM,8
