iter	Passed	Remaining
430	2664	426
431	2670	420
432	2676	414
433	2682	408
434	2689	401
435	2695	395
436	2702	389
437	2708	383
438	2713	377
439	2719	370
440	2726	364
441	2731	358
442	2737	352
443	2743	346
444	2748	339
445	2754	333
446	2760	327
447	2766	321
448	2772	314
449	2778	308
450	2785	302
451	2791	296
452	2797	290
453	2803	284
454	2809	277
455	2815	271
456	2822	265
457	2827	259
458	2833	253
459	2839	246
460	2845	240
461	2851	234
462	2857	228
463	2863	222
464	2869	215
465	2875	209
466	2880	203
467	2886	197
468	2893	191
469	2900	185
470	2907	179
471	2913	172
472	2919	166
473	2924	160
474	2930	154
475	2936	148
476	2942	141
477	2948	135
478	2955	129
479	2960	123
480	2966	117
481	2972	111
482	2978	104
483	2983	98
484	2990	92
485	2996	86
486	3002	80
487	3008	73
488	3014	67
489	3020	61
490	3028	55
491	3038	49
492	3043	43
493	3050	37
494	3055	30
495	3061	24
496	3067	18
497	3073	12
498	3079	6
499	3085	0
