iter	Logloss
0	0.628267527
1	0.5584324029
2	0.5093050039
3	0.4698063684
4	0.4431849612
5	0.4108703319
6	0.3849472037
7	0.3561840375
8	0.3382862008
9	0.3112868351
10	0.2933922228
11	0.2766741491
12	0.2603511799
13	0.2490245021
14	0.2352157169
15	0.229135309
16	0.2185735708
17	0.208634886
18	0.2014607278
19	0.1939797968
20	0.1880278791
21	0.183182446
22	0.1789654141
23	0.1738900389
24	0.1693550119
25	0.1667072508
26	0.1629474602
27	0.1594946043
28	0.1567583186
29	0.1533411151
30	0.1506770463
31	0.148157397
32	0.1457093287
33	0.1439638082
34	0.1417079026
35	0.1395197093
36	0.1383797416
37	0.1368896026
38	0.1357396873
39	0.1343694656
40	0.1332128857
41	0.1320177003
42	0.1311571106
43	0.1302920355
44	0.1293330566
45	0.1283035598
46	0.1273243582
47	0.1267607254
48	0.125665008
49	0.1245159219
50	0.1237827668
51	0.1232646317
52	0.1227199711
53	0.1220446709
54	0.1213739701
55	0.1209540948
56	0.120483746
57	0.1201344119
58	0.1197031275
59	0.119358099
60	0.1190727052
61	0.118802638
62	0.1185580594
63	0.1180880966
64	0.1175267393
65	0.1171228072
66	0.1167141645
67	0.116450741
68	0.1161160578
69	0.115831102
70	0.1154729804
71	0.1153022121
72	0.1150999564
73	0.1146108865
74	0.1143224671
75	0.113854062
76	0.1135620974
77	0.1132583416
78	0.1130573468
79	0.1127460029
80	0.1122991966
81	0.1119888245
82	0.1117124063
83	0.111454144
84	0.1112555043
85	0.1109467457
86	0.1107093852
87	0.1105379085
88	0.1103279849
89	0.1101338579
90	0.1098937321
91	0.1097199643
92	0.1095302664
93	0.1092918648
94	0.1091873909
95	0.1088250954
96	0.1086739754
97	0.1083922257
98	0.1081360207
99	0.1079483489
100	0.1076932569
101	0.1074703457
102	0.1071657664
103	0.1068535133
104	0.1066177561
105	0.106510008
106	0.1063575564
107	0.1062332078
108	0.1059944875
109	0.1056353718
110	0.105423283
111	0.1052455568
112	0.1050179578
113	0.1048107554
114	0.1044037266
115	0.1042399829
116	0.104083391
117	0.1038769847
118	0.1036750941
119	0.1034270736
120	0.1031406761
121	0.1029489152
122	0.1027557293
123	0.1025241141
124	0.1023276259
125	0.1021397719
126	0.101923659
127	0.1017040345
128	0.1015597102
129	0.1013203592
130	0.1011945926
131	0.1009871869
132	0.1008635786
133	0.1006421179
134	0.1004478209
135	0.1002969151
136	0.1001219011
137	0.1000093389
138	0.09968766492
139	0.09954740993
140	0.09936095453
141	0.09922228148
142	0.09909947038
143	0.09894956698
144	0.09879252325
145	0.09863162338
146	0.09842637023
147	0.09826409239
148	0.0981492932
149	0.09804778514
150	0.09792481054
151	0.09780981006
152	0.09757563027
153	0.097417992
154	0.09726459026
155	0.09716821182
156	0.09706696852
157	0.09692654151
158	0.09675708544
159	0.09659489389
160	0.09641313385
161	0.096308196
162	0.09619165617
163	0.09603006082
164	0.09586235244
165	0.09569433139
166	0.09551551401
167	0.09540413771
168	0.09522726178
169	0.09512521714
170	0.09498130439
171	0.09478027633
172	0.09465535463
173	0.0945559289
174	0.09438954407
175	0.09424991356
176	0.09412599281
177	0.09401523188
178	0.09388253769
179	0.0937162168
180	0.09359791228
181	0.09348269704
182	0.09332861277
183	0.09318339822
184	0.09307713142
185	0.09298703861
186	0.09281166102
187	0.09264588255
188	0.09252772141
189	0.09242168143
190	0.09226921967
191	0.09219473405
192	0.09207787297
193	0.09194628422
194	0.09178996024
195	0.09165519851
196	0.09153675338
197	0.09144258135
198	0.0913223437
199	0.09114815721
200	0.09101968365
201	0.09088755832
202	0.09076463561
203	0.0906630908
204	0.09055420249
205	0.09039491325
206	0.0902907628
207	0.09014406131
208	0.09002938907
209	0.08989936888
210	0.0898309507
211	0.0897453615
212	0.08960649501
213	0.08946649104
214	0.08933154565
215	0.08922315099
216	0.08889856826
217	0.08877667165
218	0.08865464565
219	0.08853855544
220	0.08836040637
221	0.08828715673
222	0.08813270599
223	0.0880418962
224	0.08795881176
225	0.08782203437
226	0.08769790571
227	0.08740354581
228	0.08731986558
229	0.08720832535
230	0.08706493863
231	0.08694493682
232	0.08681466126
233	0.08672490895
234	0.08664029148
235	0.08655137352
236	0.08643360485
237	0.08632061954
238	0.0861603224
239	0.08607458407
240	0.08599176382
241	0.08586915645
242	0.08574853079
243	0.08566555729
244	0.08560215677
245	0.08546532491
246	0.08529511747
247	0.08523216127
248	0.08513127677
249	0.08495477387
250	0.08488622535
251	0.08476955483
252	0.0846692184
253	0.08449901312
254	0.08438352957
255	0.08421776844
256	0.08408177294
257	0.08401553464
258	0.08392897595
259	0.08383431367
260	0.08367216053
261	0.08353137036
262	0.08342253187
263	0.08333119178
264	0.08320565048
265	0.08305348027
266	0.08297033537
267	0.08286534492
268	0.08275164503
269	0.08265811688
270	0.08260813697
271	0.08255509739
272	0.08243218325
273	0.0821580231
274	0.08207631154
275	0.08200362841
276	0.08192719713
277	0.08183612914
278	0.08178698813
279	0.08163852425
280	0.08150037058
281	0.08131368313
282	0.08120432134
283	0.08111319797
284	0.08100402645
285	0.08090799852
286	0.0807650757
287	0.08068644648
288	0.08055436657
289	0.08047154234
290	0.08037995358
291	0.08024212949
292	0.08008507219
293	0.08001838091
294	0.07995355984
295	0.07987840027
296	0.07979631611
297	0.07967641274
298	0.0795494049
299	0.07941761825
300	0.07934125241
301	0.07926120647
302	0.07916482098
303	0.07911509492
304	0.0790348487
305	0.07891668482
306	0.07881457872
307	0.07870233689
308	0.0786155315
309	0.07852105752
310	0.07844491922
311	0.07834137073
312	0.07826623247
313	0.07820063067
314	0.07812418247
315	0.07802416408
316	0.07796356432
317	0.07787640425
318	0.07775762313
319	0.07763329696
320	0.07753738778
321	0.07748158701
322	0.07738755294
323	0.07731771689
324	0.07721739096
325	0.07712790356
326	0.07706314683
327	0.07697533158
328	0.07675470864
329	0.07656506019
330	0.07647737447
331	0.07635415024
332	0.07629378747
333	0.07623591968
334	0.07611640472
335	0.0759948191
336	0.07586990553
337	0.07580964911
338	0.07569160638
339	0.07559044696
340	0.07548754244
341	0.07539995396
342	0.07528211219
343	0.07514357246
344	0.0750901593
345	0.07501376837
346	0.07488244368
347	0.07478539901
348	0.07461596244
349	0.07454714211
350	0.07445380864
351	0.0743599007
352	0.07420017079
353	0.07412668033
354	0.07403086253
355	0.07392966319
356	0.07382166129
357	0.07376507767
358	0.07367419775
359	0.0735118067
360	0.07347043545
361	0.07339805613
362	0.07329305238
363	0.0732063707
364	0.07315951659
365	0.07310167699
366	0.07300311953
367	0.07294122603
368	0.07285143368
369	0.07274303008
370	0.0726789374
371	0.07255842067
372	0.07242805447
373	0.07231804897
374	0.07223792667
375	0.07216740766
376	0.07209034773
377	0.07195113547
378	0.07188924036
379	0.07181950899
380	0.071666709
381	0.0716046396
382	0.07152445622
383	0.07142319784
384	0.07129615048
385	0.07119959704
386	0.07112936076
387	0.07104491421
388	0.07100887075
389	0.0709044963
390	0.0707516345
391	0.07064615133
392	0.07050229245
393	0.07033408241
394	0.07031448536
395	0.07026899273
396	0.07021647947
397	0.07020425837
398	0.07016056394
399	0.07006279431
400	0.06997726542
401	0.06988847201
402	0.06983631731
403	0.06971264949
404	0.06961074236
405	0.06952311113
406	0.06945473465
407	0.06937762863
408	0.06931947498
409	0.06927933196
410	0.06914400068
411	0.06908311558
412	0.06899530842
413	0.06888636078
414	0.068840655
415	0.0687686271
416	0.06859130399
417	0.06848768101
418	0.06836018896
419	0.06823132624
420	0.06816589404
421	0.06807426137
422	0.06797905607
423	0.06784759292
424	0.06773735252
425	0.06765211527
426	0.06752837428
427	0.06743392404
428	0.06732160479
429	0.06725428764
430	0.06717728943
431	0.06710576046
432	0.06703267086
433	0.0669400965
434	0.06689747728
435	0.06684578452
436	0.06677086274
437	0.06675260147
438	0.06668970718
439	0.0666392708
440	0.06647823732
441	0.0664029118
442	0.06634405118
443	0.06628629207
444	0.06623824634
445	0.06616993578
446	0.06610334267
447	0.06597878594
448	0.06592409882
449	0.06585369315
450	0.06579749915
451	0.06577763484
